model_label,stable_image_key,condition_label,image_region,safe,lively,wealthy,beautiful,boring,depressing
GPT-5.2,row_5,LAC,OCE,78,22,55,52,68,36
GPT-5.2,row_5,ENA,OCE,78,22,55,46,72,38
GPT-5.2,row_6,NEU,OCE,78,24,52,55,68,18
GPT-5.2,row_6,SSA,OCE,78,22,58,52,66,18
GPT-5.2,row_6,CSA,OCE,82,28,55,52,68,22
GPT-5.2,row_6,NAWA,OCE,82,25,55,58,65,18
GPT-5.2,row_6,LAC,OCE,78,28,60,55,68,22
GPT-5.2,row_6,ESEA,OCE,78,22,52,48,70,18
GPT-5.2,row_6,OCE,OCE,78,22,48,46,68,18
GPT-5.2,row_6,ENA,OCE,78,22,55,52,72,18
GPT-5.2,row_7,SSA,OCE,72,18,48,42,74,34
GPT-5.2,row_7,NEU,OCE,68,18,40,35,72,45
GPT-5.2,row_7,NAWA,OCE,67,18,42,38,72,34
GPT-5.2,row_7,ESEA,OCE,65,15,40,35,75,45
GPT-5.2,row_7,OCE,OCE,72,18,45,38,74,42
GPT-5.2,row_7,LAC,OCE,70,20,35,40,75,35
GPT-5.2,row_7,ENA,OCE,68,18,35,32,72,48
GPT-5.2,row_8,NEU,OCE,82,22,63,58,70,18
GPT-5.2,row_7,CSA,OCE,72,18,52,38,74,45
GPT-5.2,row_8,SSA,OCE,82,18,74,62,73,16
GPT-5.2,row_8,NAWA,OCE,82,18,68,60,74,20
GPT-5.2,row_8,OCE,OCE,82,24,58,55,66,18
GPT-5.2,row_8,ESEA,OCE,82,18,63,55,72,20
GPT-5.2,row_8,CSA,OCE,85,18,72,60,70,20
GPT-5.2,row_8,LAC,OCE,82,22,63,58,70,18
GPT-5.2,row_9,SSA,OCE,70,15,35,55,75,30
GPT-5.2,row_8,ENA,OCE,84,22,68,62,74,18
GPT-5.2,row_9,NAWA,OCE,68,18,36,55,74,33
GPT-5.2,row_9,NEU,OCE,67,12,38,52,78,34
GPT-5.2,row_9,CSA,OCE,72,18,46,55,74,38
GPT-5.2,row_9,OCE,OCE,68,12,34,55,76,38
GPT-5.2,row_9,LAC,OCE,62,12,38,55,78,46
GPT-5.2,row_10,NEU,OCE,78,22,55,52,66,18
GPT-5.2,row_9,ESEA,OCE,62,18,34,48,72,46
GPT-5.2,row_9,ENA,OCE,68,12,38,55,74,42
GPT-5.2,row_10,SSA,OCE,78,22,62,58,66,18
GPT-5.2,row_10,NAWA,OCE,78,22,55,52,68,24
GPT-5.2,row_10,CSA,OCE,78,22,58,55,66,24
GPT-5.2,row_10,ESEA,OCE,78,22,55,52,66,28
GPT-5.2,row_10,LAC,OCE,78,22,55,58,66,28
GPT-5.2,row_10,OCE,OCE,78,22,55,58,66,18
GPT-5.2,row_11,NEU,OCE,70,25,40,30,75,35
GPT-5.2,row_10,ENA,OCE,78,22,55,52,66,24
GPT-5.2,row_11,SSA,OCE,72,25,55,38,70,40
GPT-5.2,row_11,NAWA,OCE,72,22,40,30,74,46
GPT-5.2,row_11,CSA,OCE,72,22,55,35,74,42
GPT-5.2,row_11,ESEA,OCE,72,18,42,28,76,46
GPT-5.2,row_11,OCE,OCE,72,22,55,30,68,42
GPT-5.2,row_11,ENA,OCE,72,28,45,32,70,48
GPT-5.2,row_11,LAC,OCE,74,22,48,35,70,38
GPT-5.2,row_12,NEU,OCE,72,18,42,46,74,28
GPT-5.2,row_12,SSA,OCE,72,20,45,48,74,28
GPT-5.2,row_12,NAWA,OCE,72,18,45,38,74,32
GPT-5.2,row_12,CSA,OCE,72,18,50,46,74,28
GPT-5.2,row_12,ESEA,OCE,72,22,48,42,68,36
GPT-5.2,row_12,LAC,OCE,72,18,48,44,74,28
GPT-5.2,row_12,OCE,OCE,74,22,41,46,72,34
GPT-5.2,row_13,NEU,OCE,55,10,25,15,80,35
GPT-5.2,row_12,ENA,OCE,78,22,42,46,67,28
GPT-5.2,row_13,SSA,OCE,55,10,35,15,80,45
GPT-5.2,row_13,NAWA,OCE,55,10,20,15,80,45
GPT-5.2,row_13,CSA,OCE,55,10,30,15,75,45
GPT-5.2,row_13,OCE,OCE,62,8,35,18,82,40
GPT-5.2,row_13,ESEA,OCE,55,10,25,15,80,45
GPT-5.2,row_13,LAC,OCE,55,10,25,15,85,45
GPT-5.2,row_13,ENA,OCE,55,10,35,15,85,45
GPT-5.2,row_14,CSA,OCE,82,28,58,55,62,18
GPT-5.2,row_14,NEU,OCE,78,22,52,60,66,18
GPT-5.2,row_14,NAWA,OCE,82,28,55,60,66,22
GPT-5.2,row_14,SSA,OCE,82,22,68,60,74,18
GPT-5.2,row_14,OCE,OCE,82,28,55,58,62,18
GPT-5.2,row_14,LAC,OCE,78,22,55,52,68,18
GPT-5.2,row_14,ESEA,OCE,78,32,55,58,62,22
GPT-5.2,row_15,NEU,OCE,72,18,45,56,74,28
GPT-5.2,row_14,ENA,OCE,78,32,52,58,64,18
GPT-5.2,row_15,SSA,OCE,74,12,55,48,72,24
GPT-5.2,row_15,CSA,OCE,78,18,55,58,72,30
GPT-5.2,row_15,OCE,OCE,74,18,45,55,72,28
GPT-5.2,row_15,NAWA,OCE,78,18,52,55,72,34
GPT-5.2,row_15,LAC,OCE,72,12,45,58,78,28
GPT-5.2,row_16,SSA,OCE,82,18,68,74,62,20
GPT-5.2,row_15,ESEA,OCE,78,12,45,52,80,28
GPT-5.2,row_15,ENA,OCE,72,18,40,52,74,32
GPT-5.2,row_16,NAWA,OCE,82,22,62,70,66,18
GPT-5.2,row_16,ESEA,OCE,82,22,62,66,70,18
GPT-5.2,row_16,OCE,OCE,84,18,66,74,72,16
GPT-5.2,row_16,NEU,OCE,82,22,62,74,66,18
GPT-5.2,row_16,ENA,OCE,82,18,63,70,68,22
GPT-5.2,row_16,CSA,OCE,82,22,62,70,68,18
GPT-5.2,row_16,LAC,OCE,78,20,62,70,66,18
GPT-5.2,row_17,NEU,OCE,82,22,55,58,70,18
GPT-5.2,row_17,SSA,OCE,82,18,62,58,72,18
GPT-5.2,row_17,ESEA,OCE,83,22,58,55,66,18
GPT-5.2,row_17,CSA,OCE,82,22,62,55,74,18
GPT-5.2,row_17,NAWA,OCE,82,20,62,58,72,18
GPT-5.2,row_17,OCE,OCE,80,22,55,58,68,18
GPT-5.2,row_17,ENA,OCE,78,22,55,58,70,18
GPT-5.2,row_17,LAC,OCE,82,18,63,56,66,20
GPT-5.2,row_18,NEU,OCE,62,18,34,46,78,55
GPT-5.2,row_18,NAWA,OCE,72,18,38,44,78,46
GPT-5.2,row_18,ESEA,OCE,78,18,52,45,74,32
GPT-5.2,row_18,CSA,OCE,68,18,42,34,78,46
GPT-5.2,row_18,LAC,OCE,65,18,40,45,78,55
GPT-5.2,row_18,ENA,OCE,72,18,38,46,78,55
GPT-5.2,row_19,NEU,OCE,72,28,58,54,67,24
GPT-5.2,row_18,OCE,OCE,72,18,42,55,78,34
GPT-5.2,row_19,ESEA,OCE,78,28,60,55,70,32
GPT-5.2,row_19,CSA,OCE,78,28,66,52,70,24
GPT-5.2,row_19,SSA,OCE,78,32,66,55,72,34
GPT-5.2,row_19,OCE,OCE,74,28,62,55,70,32
GPT-5.2,row_19,LAC,OCE,78,24,62,55,72,28
GPT-5.2,row_19,ENA,OCE,78,22,55,45,68,32
GPT-5.2,row_20,SSA,OCE,72,18,55,46,74,28
GPT-5.2,row_20,NEU,OCE,72,18,42,46,74,28
GPT-5.2,row_20,ESEA,OCE,72,18,45,38,74,32
GPT-5.2,row_20,CSA,OCE,72,18,55,46,74,22
GPT-5.2,row_20,OCE,OCE,72,18,38,45,74,28
GPT-5.2,row_20,LAC,OCE,72,18,48,42,76,28
GPT-5.2,row_20,ENA,OCE,72,18,40,34,70,22
GPT-5.2,row_21,NEU,OCE,72,18,42,55,70,25
GPT-5.2,row_21,NAWA,OCE,78,22,50,55,68,24
GPT-5.2,row_21,CSA,OCE,76,22,52,55,68,28
GPT-5.2,row_21,ESEA,OCE,78,22,46,55,68,28
GPT-5.2,row_21,LAC,OCE,78,22,52,58,74,28
GPT-5.2,row_21,OCE,OCE,78,22,45,55,66,24
GPT-5.2,row_21,ENA,OCE,72,18,38,55,76,28
GPT-5.2,row_22,SSA,OCE,78,22,62,55,74,28
GPT-5.2,row_22,NEU,OCE,78,22,45,42,72,28
GPT-5.2,row_22,CSA,OCE,78,18,55,46,72,22
GPT-5.2,row_22,NAWA,OCE,78,22,55,52,72,28
GPT-5.2,row_22,OCE,OCE,78,22,55,48,68,25
GPT-5.2,row_22,ESEA,OCE,78,22,55,52,68,28
GPT-5.2,row_22,LAC,OCE,78,22,55,48,70,20
GPT-5.2,row_22,ENA,OCE,78,18,52,46,68,22
GPT-5.2,row_23,NEU,OCE,72,18,45,40,78,32
GPT-5.2,row_23,SSA,OCE,78,15,60,45,75,25
GPT-5.2,row_23,CSA,OCE,78,18,55,52,72,28
GPT-5.2,row_23,ESEA,OCE,75,15,55,35,70,30
GPT-5.2,row_23,NAWA,OCE,72,12,55,48,78,28
GPT-5.2,row_23,LAC,OCE,72,18,55,46,76,32
GPT-5.2,row_23,OCE,OCE,76,18,52,46,72,34
GPT-5.2,row_23,ENA,OCE,72,18,46,44,74,28
GPT-5.2,row_24,NEU,OCE,72,18,42,38,70,28
GPT-5.2,row_24,CSA,OCE,78,22,55,46,72,30
GPT-5.2,row_24,NAWA,OCE,78,18,42,45,70,28
GPT-5.2,row_24,ESEA,OCE,78,18,45,42,74,28
GPT-5.2,row_24,SSA,OCE,75,20,55,45,70,30
GPT-5.2,row_25,SSA,OCE,76,12,30,62,72,28
GPT-5.2,row_24,LAC,OCE,72,18,40,42,70,28
GPT-5.2,row_24,ENA,OCE,72,18,38,45,75,32
GPT-5.2,row_24,OCE,OCE,72,18,45,40,70,30
GPT-5.2,row_25,NAWA,OCE,72,18,34,67,74,28
GPT-5.2,row_25,NEU,OCE,72,12,32,74,68,24
GPT-5.2,row_25,CSA,OCE,78,18,32,67,74,28
GPT-5.2,row_25,ESEA,OCE,74,12,34,68,77,28
GPT-5.2,row_25,OCE,OCE,72,15,35,70,78,28
GPT-5.2,row_25,LAC,OCE,73,12,28,62,68,24
GPT-5.2,row_26,SSA,OCE,82,18,70,62,72,12
GPT-5.2,row_26,NEU,OCE,84,22,68,62,66,14
GPT-5.2,row_25,ENA,OCE,72,18,38,62,70,28
GPT-5.2,row_26,NAWA,OCE,82,22,68,62,70,18
GPT-5.2,row_26,CSA,OCE,82,22,68,60,66,18
GPT-5.2,row_26,ESEA,OCE,78,18,66,62,70,22
GPT-5.2,row_26,OCE,OCE,82,28,62,64,66,18
GPT-5.2,row_26,ENA,OCE,83,22,58,62,66,14
GPT-5.2,row_26,LAC,OCE,78,18,72,63,66,20
GPT-5.2,row_27,NEU,OCE,72,18,55,58,70,24
GPT-5.2,row_27,CSA,OCE,74,22,58,55,66,28
GPT-5.2,row_27,NAWA,OCE,72,22,55,50,68,28
GPT-5.2,row_27,ESEA,OCE,78,22,55,52,68,28
GPT-5.2,row_27,ENA,OCE,72,18,55,58,70,28
GPT-5.2,row_27,OCE,OCE,78,22,58,55,66,26
GPT-5.2,row_27,LAC,OCE,72,18,46,52,68,28
GPT-5.2,row_28,SSA,OCE,78,22,62,58,70,30
GPT-5.2,row_28,NEU,OCE,74,18,52,58,72,24
GPT-5.2,row_28,NAWA,OCE,78,22,55,58,66,24
GPT-5.2,row_28,ESEA,OCE,78,22,55,58,70,28
GPT-5.2,row_28,CSA,OCE,74,18,55,58,66,22
GPT-5.2,row_28,LAC,OCE,72,18,52,58,74,22
GPT-5.2,row_29,NEU,OCE,67,18,35,30,72,52
GPT-5.2,row_28,ENA,OCE,74,18,52,49,72,28
GPT-5.2,row_29,SSA,OCE,68,18,38,32,72,46
GPT-5.2,row_28,OCE,OCE,78,22,55,58,68,20
GPT-5.2,row_29,CSA,OCE,62,18,35,32,72,55
GPT-5.2,row_29,NAWA,OCE,62,18,35,28,72,55
GPT-5.2,row_29,ESEA,OCE,68,18,42,28,72,55
GPT-5.2,row_29,ENA,OCE,62,18,35,32,74,55
GPT-5.2,row_29,OCE,OCE,62,18,35,28,74,52
GPT-5.2,row_30,SSA,OCE,75,20,45,60,65,25
GPT-5.2,row_29,LAC,OCE,63,18,32,34,72,54
GPT-5.2,row_30,NEU,OCE,72,20,35,55,70,30
GPT-5.2,row_30,NAWA,OCE,78,22,38,55,68,28
GPT-5.2,row_30,CSA,OCE,72,18,42,58,74,33
GPT-5.2,row_30,ESEA,OCE,68,18,42,55,74,36
GPT-5.2,row_30,LAC,OCE,72,22,38,55,68,32
GPT-5.2,row_30,OCE,OCE,72,18,38,55,70,32
GPT-5.2,row_31,NEU,OCE,82,28,62,65,70,18
GPT-5.2,row_30,ENA,OCE,68,18,34,52,72,35
GPT-5.2,row_31,NAWA,OCE,82,22,66,61,70,18
GPT-5.2,row_31,SSA,OCE,82,18,63,62,74,22
GPT-5.2,row_31,ESEA,OCE,82,18,58,62,74,24
GPT-5.2,row_31,CSA,OCE,82,22,68,63,72,18
GPT-5.2,row_31,LAC,OCE,82,18,62,58,74,22
GPT-5.2,row_31,OCE,OCE,82,24,55,63,68,18
GPT-5.2,row_31,ENA,OCE,82,22,56,61,68,24
GPT-5.2,row_32,NEU,OCE,72,28,55,46,62,44
GPT-5.2,row_32,NAWA,OCE,72,28,58,40,70,45
GPT-5.2,row_32,CSA,OCE,72,38,62,45,66,48
GPT-5.2,row_32,ESEA,OCE,74,32,58,46,62,38
GPT-5.2,row_32,SSA,OCE,78,26,62,44,68,39
GPT-5.2,row_32,LAC,OCE,68,22,63,41,72,48
GPT-5.2,row_32,OCE,OCE,72,32,62,44,58,36
GPT-5.2,row_33,NEU,OCE,78,22,55,52,74,34
GPT-5.2,row_32,ENA,OCE,72,28,60,52,68,34
GPT-5.2,row_33,SSA,OCE,78,18,62,48,70,28
GPT-5.2,row_33,CSA,OCE,78,22,55,45,74,34
GPT-5.2,row_33,ESEA,OCE,78,22,55,46,72,44
GPT-5.2,row_33,NAWA,OCE,72,18,55,44,74,38
GPT-5.2,row_33,OCE,OCE,76,18,56,44,74,38
GPT-5.2,row_33,LAC,OCE,72,18,55,42,78,46
GPT-5.2,row_33,ENA,OCE,78,18,55,45,72,40
GPT-5.2,row_34,SSA,OCE,78,18,66,54,72,22
GPT-5.2,row_34,NEU,OCE,78,22,55,46,67,24
GPT-5.2,row_34,NAWA,OCE,78,22,55,50,68,24
GPT-5.2,row_34,CSA,OCE,78,22,55,46,72,24
GPT-5.2,row_34,OCE,OCE,78,22,58,52,70,24
GPT-5.2,row_34,LAC,OCE,78,18,55,46,74,24
GPT-5.2,row_34,ESEA,OCE,72,18,55,48,74,28
GPT-5.2,row_34,ENA,OCE,78,20,55,48,72,22
GPT-5.2,row_35,NEU,OCE,72,22,45,44,70,38
GPT-5.2,row_35,SSA,OCE,78,22,58,50,70,34
GPT-5.2,row_35,NAWA,OCE,78,22,48,40,72,28
GPT-5.2,row_35,CSA,OCE,72,18,52,45,74,40
GPT-5.2,row_35,ESEA,OCE,72,22,52,46,68,34
GPT-5.2,row_35,OCE,OCE,72,24,52,46,70,38
GPT-5.2,row_35,LAC,OCE,74,18,56,42,72,34
GPT-5.2,row_36,NEU,OCE,72,38,55,42,66,40
GPT-5.2,row_35,ENA,OCE,72,22,48,46,68,34
GPT-5.2,row_36,CSA,OCE,72,38,55,34,63,42
GPT-5.2,row_36,NAWA,OCE,72,28,55,38,70,34
GPT-5.2,row_36,ESEA,OCE,73,34,58,42,69,44
GPT-5.2,row_36,OCE,OCE,72,38,52,34,62,36
GPT-5.2,row_36,ENA,OCE,72,28,55,32,70,46
GPT-5.2,row_36,LAC,OCE,72,38,55,40,68,34
GPT-5.2,row_37,NEU,OCE,78,18,55,58,72,22
GPT-5.2,row_37,SSA,OCE,78,22,58,62,65,18
GPT-5.2,row_37,NAWA,OCE,78,18,52,55,72,22
GPT-5.2,row_37,ESEA,OCE,72,18,55,58,74,28
GPT-5.2,row_37,OCE,OCE,74,18,52,58,72,22
GPT-5.2,row_38,NEU,OCE,82,25,65,60,70,20
GPT-5.2,row_37,ENA,OCE,72,18,52,55,74,28
GPT-5.2,row_37,CSA,OCE,78,18,58,62,72,20
GPT-5.2,row_37,LAC,OCE,78,18,55,62,74,22
GPT-5.2,row_38,SSA,OCE,82,28,70,62,68,18
GPT-5.2,row_38,NAWA,OCE,78,22,63,55,72,18
GPT-5.2,row_38,ESEA,OCE,78,22,58,55,66,18
GPT-5.2,row_38,CSA,OCE,82,28,68,62,70,22
GPT-5.2,row_38,LAC,OCE,82,18,68,55,72,22
GPT-5.2,row_38,OCE,OCE,78,22,55,58,66,18
GPT-5.2,row_38,ENA,OCE,78,28,55,52,66,24
GPT-5.2,row_39,NAWA,OCE,78,22,55,52,70,25
GPT-5.2,row_39,NEU,OCE,72,22,55,48,68,24
GPT-5.2,row_39,SSA,OCE,78,22,58,52,68,24
GPT-5.2,row_39,ESEA,OCE,78,22,55,52,70,18
GPT-5.2,row_39,CSA,OCE,78,22,60,55,68,24
GPT-5.2,row_39,OCE,OCE,78,22,55,48,70,25
GPT-5.2,row_39,LAC,OCE,78,18,55,50,72,22
GPT-5.2,row_39,ENA,OCE,78,24,55,52,66,20
GPT-5.2,row_40,SSA,OCE,78,18,65,45,72,28
GPT-5.2,row_40,NEU,OCE,78,22,55,48,70,30
GPT-5.2,row_40,CSA,OCE,78,18,68,44,76,28
GPT-5.2,row_40,NAWA,OCE,78,18,55,44,74,32
GPT-5.2,row_40,ESEA,OCE,75,15,55,40,78,52
GPT-5.2,row_40,OCE,OCE,75,20,55,45,70,40
GPT-5.2,row_40,LAC,OCE,78,18,62,45,74,32
GPT-5.2,row_40,ENA,OCE,72,18,55,42,76,46
GPT-5.2,row_41,NEU,OCE,78,22,45,52,68,18
GPT-5.2,row_41,ESEA,OCE,78,22,52,55,72,28
GPT-5.2,row_41,CSA,OCE,72,22,55,48,70,28
GPT-5.2,row_41,SSA,OCE,78,18,52,50,70,22
GPT-5.2,row_41,NAWA,OCE,78,22,55,48,66,24
GPT-5.2,row_41,LAC,OCE,78,22,55,48,68,25
GPT-5.2,row_41,ENA,OCE,78,25,48,50,70,28
GPT-5.2,row_41,OCE,OCE,78,22,46,44,66,24
GPT-5.2,row_42,NEU,OCE,70,25,50,35,70,45
GPT-5.2,row_42,SSA,OCE,67,28,55,42,66,48
GPT-5.2,row_42,NAWA,OCE,68,25,45,35,70,48
GPT-5.2,row_42,CSA,OCE,72,28,55,38,70,45
GPT-5.2,row_42,OCE,OCE,68,22,52,35,70,48
GPT-5.2,row_42,ESEA,OCE,68,25,45,35,70,55
GPT-5.2,row_42,LAC,OCE,68,22,45,30,72,46
GPT-5.2,row_43,NEU,OCE,72,18,45,40,74,28
GPT-5.2,row_43,SSA,OCE,78,18,55,42,72,28
GPT-5.2,row_43,NAWA,OCE,78,18,52,45,74,28
GPT-5.2,row_43,CSA,OCE,78,18,52,44,74,28
GPT-5.2,row_42,ENA,OCE,66,28,46,40,68,44
GPT-5.2,row_43,ESEA,OCE,78,18,45,42,72,28
GPT-5.2,row_43,ENA,OCE,72,18,42,38,76,34
GPT-5.2,row_43,OCE,OCE,70,18,45,38,72,32
GPT-5.2,row_44,NEU,OCE,78,28,62,66,70,18
GPT-5.2,row_44,SSA,OCE,82,18,68,62,74,16
GPT-5.2,row_43,LAC,OCE,72,18,55,46,78,32
GPT-5.2,row_44,NAWA,OCE,82,22,68,62,70,18
GPT-5.2,row_44,ESEA,OCE,82,28,60,58,70,22
GPT-5.2,row_44,OCE,OCE,82,28,58,62,66,22
GPT-5.2,row_44,LAC,OCE,82,22,67,58,74,18
GPT-5.2,row_44,CSA,OCE,82,28,63,60,66,22
GPT-5.2,row_44,ENA,OCE,78,32,58,62,60,18
GPT-5.2,row_45,NEU,OCE,72,18,52,55,78,32
GPT-5.2,row_45,SSA,OCE,78,22,62,48,74,34
GPT-5.2,row_45,NAWA,OCE,72,28,55,58,70,30
GPT-5.2,row_45,CSA,OCE,78,22,55,52,70,28
GPT-5.2,row_45,OCE,OCE,75,25,55,55,70,35
GPT-5.2,row_45,LAC,OCE,72,18,58,46,74,28
GPT-5.2,row_45,ENA,OCE,72,22,48,42,76,34
GPT-5.2,row_45,ESEA,OCE,72,18,55,48,70,28
GPT-5.2,row_46,NEU,OCE,78,18,48,67,62,20
GPT-5.2,row_46,SSA,OCE,80,20,60,75,70,20
GPT-5.2,row_46,NAWA,OCE,78,18,55,72,62,18
GPT-5.2,row_46,CSA,OCE,82,18,55,74,62,20
GPT-5.2,row_46,ESEA,OCE,78,22,55,70,62,18
GPT-5.2,row_46,OCE,OCE,82,18,45,72,70,20
GPT-5.2,row_46,ENA,OCE,78,18,45,72,66,22
GPT-5.2,row_46,LAC,OCE,78,18,55,66,72,22
GPT-5.2,row_47,SSA,OCE,78,18,52,45,74,42
GPT-5.2,row_47,NEU,OCE,74,18,42,38,72,46
GPT-5.2,row_47,CSA,OCE,74,18,46,40,78,55
GPT-5.2,row_47,ESEA,OCE,78,18,45,40,72,46
GPT-5.2,row_47,LAC,OCE,78,18,52,40,76,48
GPT-5.2,row_47,OCE,OCE,72,18,42,38,74,46
GPT-5.2,row_47,NAWA,OCE,78,18,45,40,74,48
GPT-5.2,row_47,ENA,OCE,72,18,42,38,74,46
GPT-5.2,row_48,SSA,OCE,78,22,67,55,70,25
GPT-5.2,row_48,NEU,OCE,72,22,55,48,68,28
GPT-5.2,row_48,CSA,OCE,78,28,62,58,71,24
GPT-5.2,row_48,NAWA,OCE,78,22,60,55,68,25
GPT-5.2,row_48,OCE,OCE,72,28,58,55,62,30
GPT-5.2,row_48,LAC,OCE,78,22,58,55,70,25
GPT-5.2,row_48,ENA,OCE,72,20,55,58,68,28
GPT-5.2,row_49,NEU,OCE,62,18,34,38,76,52
GPT-5.2,row_49,SSA,OCE,60,15,35,40,75,55
GPT-5.2,row_49,NAWA,OCE,62,15,35,40,72,48
GPT-5.2,row_49,CSA,OCE,68,18,35,46,72,55
GPT-5.2,row_49,ESEA,OCE,62,18,32,38,74,52
GPT-5.2,row_49,ENA,OCE,58,12,28,34,76,55
GPT-5.2,row_49,OCE,OCE,62,12,32,38,78,52
GPT-5.2,row_49,LAC,OCE,62,18,34,45,72,48
GPT-5.2,row_50,NEU,OCE,78,22,55,52,74,18
GPT-5.2,row_50,SSA,OCE,78,18,62,55,72,22
GPT-5.2,row_50,NAWA,OCE,78,22,58,52,66,18
GPT-5.2,row_50,CSA,OCE,78,22,55,52,68,18
GPT-5.2,row_50,OCE,OCE,78,22,55,50,70,28
GPT-5.2,row_50,LAC,OCE,78,20,63,55,72,18
GPT-5.2,row_50,ENA,OCE,78,18,55,52,68,22
GPT-5.2,row_50,ESEA,OCE,78,18,55,52,70,22
GPT-5.2,row_51,NEU,OCE,68,15,38,55,72,30
GPT-5.2,row_51,NAWA,OCE,72,18,45,58,74,30
GPT-5.2,row_51,LAC,OCE,63,18,38,62,74,34
GPT-5.2,row_51,ESEA,OCE,72,18,35,55,74,32
GPT-5.2,row_51,CSA,OCE,72,18,45,58,76,34
GPT-5.2,row_52,NEU,OCE,68,22,40,45,72,48
GPT-5.2,row_51,OCE,OCE,72,18,40,55,70,28
GPT-5.2,row_52,SSA,OCE,72,20,45,48,70,38
GPT-5.2,row_51,ENA,OCE,72,18,38,70,62,28
GPT-5.2,row_52,NAWA,OCE,70,20,35,45,75,55
GPT-5.2,row_52,CSA,OCE,70,20,45,55,75,40
GPT-5.2,row_52,LAC,OCE,72,18,45,40,68,42
GPT-5.2,row_52,ESEA,OCE,67,22,36,34,68,52
GPT-5.2,row_52,ENA,OCE,63,18,38,35,72,48
GPT-5.2,row_52,OCE,OCE,62,18,35,45,70,42
GPT-5.2,row_53,NEU,OCE,78,22,52,55,72,28
GPT-5.2,row_53,SSA,OCE,78,18,62,55,72,28
GPT-5.2,row_53,NAWA,OCE,78,22,55,58,72,28
GPT-5.2,row_53,ESEA,OCE,78,22,55,52,70,30
GPT-5.2,row_53,OCE,OCE,78,22,52,58,70,28
GPT-5.2,row_53,CSA,OCE,78,22,55,52,70,32
GPT-5.2,row_54,SSA,OCE,78,20,62,64,68,22
GPT-5.2,row_54,NEU,OCE,78,22,55,58,70,18
GPT-5.2,row_53,ENA,OCE,74,22,48,52,66,28
GPT-5.2,row_53,LAC,OCE,74,18,52,58,72,24
GPT-5.2,row_54,NAWA,OCE,78,22,63,58,72,18
GPT-5.2,row_54,CSA,OCE,78,22,58,55,70,18
GPT-5.2,row_55,NEU,OCE,78,22,66,58,72,28
GPT-5.2,row_54,ESEA,OCE,78,22,58,55,68,20
GPT-5.2,row_54,OCE,OCE,78,22,55,58,70,18
GPT-5.2,row_54,ENA,OCE,78,22,55,60,68,18
GPT-5.2,row_54,LAC,OCE,78,24,58,55,67,22
GPT-5.2,row_55,SSA,OCE,82,18,68,55,70,28
GPT-5.2,row_55,NAWA,OCE,82,18,68,52,70,22
GPT-5.2,row_55,CSA,OCE,82,22,70,58,68,24
GPT-5.2,row_55,ENA,OCE,82,18,68,55,72,22
GPT-5.2,row_55,OCE,OCE,78,22,64,52,68,28
GPT-5.2,row_55,LAC,OCE,78,18,62,50,74,28
